participant_id	Task_order	Task_difficulty_nback	Task_difficulty_SST	Task_difficulty_card	Task_difficulty_gradCPT	Task_difficulty_eyes	Task_difficulty_movie	Task_engagement_wm	Task_engagement_SST	Task_engagement_card	Task_engagement_gradCPT	Task_engagement_eyes	Task_engagement_movies	SleepRuns	eyes_words_DK
sub-pa4959	4,6,3,5,1,2	1	1	3	1	1	1	5	5	5	5	5	5	gradCPT, movies	n/a
sub-pa4974	3,2,4,5,1,6	n/an	2	2	3	5	1	4	4	5	4	4	5	gradCPT, eyes, R2	n/a
sub-pa4989	1,3,2,4,6,5	4	3	4	2	2	1	4	3	2	4	3	4	n/a	contented, incredulous
sub-pa5011	6,4,3,5,1,2	3	2	3	5	3	1	5	5	5	5	5	5	n/a	n/an
sub-pa5015	3,1,4,5,2,6	5	3	3	2	2	1	4	5	5	5	5	5	n/a	aghast, dubious, incredulous
sub-pa5026	4,2,1,6,5,3	3	3	1	1	1	1	4	4	4	4	4	4	n/a	n/a
sub-pa5030	4,1,6,2,3,5	3	1	1	3	4	1	2	4	5	2	3	1	Nback, gradCPT, R1, R2	n/a
sub-pa5040	1,5,4,3,6,2	5	3	2	2	3	1	4	3	1	3	1	3	R1, R2	n/a
sub-pa5054	5,1,6,3,4,2	5	2	5	3	2	1	4	4	1	2	5	5	n/a	despondent, dubious, incredulous
sub-pa5057	2,5,1,3,4,6	4	1	1	1	4	1	2	2	2	2	2	2	n/a	n/a
sub-pa5065	4,2,5,1,3,6	5	4	4	3	1	1	2	3	3	4	2	3	R1	aghast, bewildered, contemplative, defiant, despondent, dubious, flirtatious, flustered, imploring, incredulous, pensive, perplexed, stern
sub-pa5069	1,4,3,5,6,2	5	3	5	3	2	1	5	5	1	5	5	4	n/a	aghast, baffled, despondent, flustered, imploring, incredulous, pensive, stern
sub-pa5076	1,5,2,4,3,6	5	1	1	2	4	1	3	5	3	4	5	4	gradCPT, movies, R1, R2	aghast, assertive, baffled, bewildered, contemplative, contented, defiant, despondent, dubious, flustered, imploring, incredulous, intrigued, pensive, perplexed, reassuring, resentful, stern, tentative
sub-pa5097	1,2,5,3,6,4	4	3	2	4	3	1	4	3	2	3	4	2	n/a	dispirited
sub-pa5101	5,6,4,1,2,3	4	1	1	2	3	1	5	3	3	2	3	1	n/a	contented, dubious, incredulous, pensive
sub-pa5104	5,6,3,1,4,2	5	5	3	1	5	1	1	1	3	5	1	5	SST	aghast, dubious, imploring, pensive, tentative
sub-pa5120	4,3,5,6,1,2	5	3	5	2	5	5	4	4	2	5	2	3	card guessing, eyes, movies	aghast, despondent, dubious, imploring, incredulous, pensive, tentative
sub-pa5132	2,6,1,4,3,5	5	1	5	2	5	1	3	5	2	2	3	5	n/a	dubious
sub-pa5141	6,4,2,1,3,5	5	3	2	3	3	1	5	5	4	3	4	4	n/a	n/a
sub-pa5170	5,3,2,1,4,6	5	2	1	2	4	1	4	2	3	4	4	4	n/a	aghast, imploring, incredulous, stern
sub-pa5176	5,1,2,3,6,4	5	2	2	3	4	1	5	4	3	4	4	2	n/a	n/a
sub-pa5189	1,2,3,6,5,4	5	2	5	3	3	1	2	4	1	4	4	5	n/a	n/a
sub-pa5197	1,2,6,5,4,3	5	2	5	2	3	1	5	4	5	4	5	4	n/a	despondent, incredulous, pensive
sub-pa5207	4,1,5,2,6,3	4	2	2	2	3	1	5	2	2	3	5	3	n/a	n/a
sub-pa5215	1,4,2,3,5,6	4	3	3	2	2	1	5	5	2	4	3	3	n/a	n/a
sub-pa5231	1,5,4,2,6,3	4	2	5	3	3	1	4	5	4	4	5	5	n/a	despondent
sub-pa5249	6,4,3,2,5,1	4	2	4	1	2	1	4	5	4	5	4	5	n/a	despondent, pensive
sub-pa5265	3,6,2,1,4,5	4	2	1	3	3	1	5	5	5	5	5	5	n/a	n/a
sub-pa5271	2,3,1,5,4,6	3	1	1	2	3	1	1	1	1	5	1	1	Nback, R1	aghast, imploring
sub-pa5287	2,1,4,5,3,6	5	4	3	4	1	1	5	5	3	4	5	4	n/a	n/a
sub-pa5315	4,5,2,1,6,3	5	1	4	1	3	1	4	4	3	3	5	3	n/a	aghast, incredulous
sub-pa5325	1,3,6,5,4,2	3	2	5	4	3	1	5	5	4	5	5	5	R1	n/a
sub-pa5328	5,6,1,2,4,3	4	2	3	2	4	1	4	4	2	4	4	2	n/a	incredulous
sub-pa5347	5,3,2,6,4,1	3	2	1	2	2	1	4	4	2	4	4	2	n/a	n/a
sub-pa5352	3,2,4,6,1,5	4	2	3	3	3	1	5	5	5	5	2	1	n/a	incredulous
sub-pa5369	5,4,2,3,6,1	5	2	3	2	5	1	5	3	3	5	2	2	n/a	contented, despondent, pensive, incredulous, tentative
sub-pa5374	4,3,2,1,6,5	4	2	2	2	3	1	5	5	5	5	5	5	n/a	n/a
sub-pa5393	6,2,4,3,5,1	4	3	3	3	2	1	5	3	2	4	4	5	n/a	despondent
sub-pa5398	2,5,1,4,6,3	4	2	2	4	2	1	5	3	3	4	5	5	n/a	n/a
sub-pa5406	4,2,3,5,6,1	5	2	5	2	5	1	3	5	2	5	4	4	card guessing, eyes	n/a
sub-pa5410	1,2,4,3,6,5	4	5	3	3	1	1	5	5	3	4	5	3	n/a	n/a
sub-pa5423	1,4,5,2,3,6	5	2	4	1	1	1	2	4	5	5	2	5	SST, R2	aghast, baffled, despondent, pensive
sub-pa5426	1,2,3,4,5,6	4	3	4	3	3	1	3	4	3	5	4	5	n/a	incredulous
sub-pa5460	5,6,2,1,3,4	4	2	2	2	1	1	4	4	3	5	2	5	eyes, R1	accusing, affection/ate, aghast, baffled, contemplative, imploring, intrigued, tentative
sub-pa5475	5,2,3,6,4,1	5	4	5	1	3	1	5	5	3	5	3	5	n/a	n/a
sub-pa5481	3,5,2,1,6,4	3	3	3	3	3	3	5	5	5	5	5	5	SST, eyes	n/a
sub-pa5492	4,6,5,2,1,3	4	1	3	5	1	1	2	5	5	4	5	4	n/a	n/a
sub-pa5515	2,4,3,6,1,5	2	3	5	5	5	1	5	5	4	4	5	4	R1	aghast, despondent, dubious
sub-pa5541	5,6,1,3,4,2	5	1	4	1	2	1	3	5	2	4	4	5	n/a	n/a
sub-pa5553	2,4,3,1,5,6	4	3	5	1	2	1	4	5	4	5	4	5	n/a	n/a
sub-pa5567	1,6,2,4,5,3	4	1	n/an	3	3	1	4	3	n/an	5	3	4	n/a	despondent, dispirited, imploring, incredulous, pensive
sub-pa5573	2,1,6,5,4,3	3	1	2	3	2	1	5	5	5	5	5	4	n/a	n/a
sub-pa5592	5,1,6,2,4,3	5	2	2	4	4	1	5	4	4	5	3	5	n/a	n/a
sub-pa5616	3,1,4,6,5,2	2	3	3	4	2	1	2	4	3	3	3	5	nback, SST, card guessing, gradCPT, eyes, movies, R1,R2	aghast, bewildered, contented, despondent, earnest, imploring, incredulous, insisting, pensive, tentative
sub-pa5622	1,3,4,6,5,2	3	2	2	3	2	1	4	4	4	4	4	4	n/a	n/a
sub-pa5635	5,3,1,2,6,4	5	2	3	3	5	1	5	5	3	5	5	5	n/a	n/a
sub-pa5641	4,2,6,5,3,1	4	2	4	2	1	1	3	4	3	2	3	5	n/a	despondent
sub-pa5645	4,6,1,3,2,5	5	2	n/an	2	1	1	5	4	5	5	5	4	n/a	aghast
sub-pa5656	1,6,4,2,3,5	4	2	1	3	3	1	3	3	3	3	3	3	R1	aghast, contented, despondent, dubious, imploring, incredulous, pensive, stern
sub-pa5661	6,5,3,4,2,1	4	2	4	2	5	1	4	3	2	4	5	4	card guessing, R2	n/a
sub-pa5671	4,1,2,3,6,5	2	3	4	2	3	1	5	4	2	3	2	1	card guessing, eyes, movies, R1	aghast, despodent, dubious, earnest, imploring, pensive
sub-pa5678	4,6,5,3,1,2	5	3	1	1	2	1	4	4	1	3	4	4	n/a	incredulous
sub-pa5834	1,4,5,3,6,2	4	2	5	1	3	4	2	5	1	4	2	4	R1	aghast, amused, baffled, despondent, flirtatious
sub-pa5837	3,6,2,5,1,4	5	2	4	2	4	1	3	5	4	4	2	3	n/a	aghast, baffled, bewildered, contemplative, flustered, incredulous
sub-pa5849	4,1,3,5,2,6	4	2	2	3	4	1	5	2	2	5	4	3	n/a	aghast, despondent, dubious, incredulous
sub-pa5859	1,5,4,2,3,6	4	1	5	1	2	1	4	5	1	5	1	5	n/a	contented
sub-pa5861	4,2,5,6,3,1	4	2	3	2	3	1	3	5	5	5	3	4	R1, R2	aghast, anticipating, baffled, contemplative, defiant, despondent, dubious, flustered, imploring, intrigued, pensive, resentful, stern
sub-pa5873	5,6,3,2,1,4	5	2	5	4	3	1	5	5	4	5	5	3	n/a	n/a
sub-pa5876	2,5,6,1,3,4	2	1	2	1	3	1	2	2	1	1	1	1	n/a	aghast, contemplative, pensive
sub-pa5884	5,2,1,6,3,4	3	2	5	4	3	1	5	5	5	5	5	5	n/a	dubious, pensive
sub-pa5886	6,5,4,3,2,1	5	4	2	4	3	1	3	5	4	3	2	5	n/a	n/a
sub-pa5896	6,1,4,5,3,2	5	2	4	4	3	1	1	3	2	3	5	5	Nback, gradCPT	n/a
sub-pa5900	5,4,3,1,2,6	3	2	5	1	1	1	4	4	3	5	1	2	eyes, R1, R2	bewildered, despondent, imploring, pensive, stern
sub-pa5916	1,4,6,2,3,5	3	2	3	4	4	1	4	4	4	3	3	5	n/a	aghast, bewildered, dubious, pensive
sub-pa5933	6,2,3,4,1,5	5	3	4	2	2	1	2	3	3	3	4	5	n/a	n/a
sub-pa5942	2,6,3,1,5,4	5	2	1	4	3	1	3	4	3	2	4	5	n/a	n/a
sub-pa5947	5,6,2,1,4,3	5	1	1	1	1	1	1	3	2	3	4	5	gradCPT	aghast, baffled, bewildered, dubious, incredulous, intrigued, stern
sub-pa5953	4,6,1,2,5,3	3	2	4	2	4	1	3	5	4	5	3	5	n/a	despondent, dispirited, incredulous, pensive
sub-pa5962	3,2,6,4,5,1	5	3	3	2	4	1	1	3	3	3	3	5	n/a	despondent, dubious, incredulous
sub-pa5969	6,3,5,1,4,2	4	3	2	3	2	1	5	4	2	5	5	2	n/a	n/a
sub-pa5973	6,5,1,2,4,3	2	2	4	3	5	1	4	4	3	3	3	2	n/a	despondent, imploring, incredulous
sub-pa5982	3,1,4,2,5,6	5	3	1	3	3	1	3	2	2	3	5	4	R1, SST	n/a
sub-pa5995	3,2,1,5,4,6	5	3	2	3	2	1	3	5	3	5	5	2	n/a	n/a
sub-pa6001	1,2,6,4,5,3	5	4	2	3	5	1	5	5	5	5	5	3	n/a	n/a
sub-pa6013	4,5,3,6,1,2	5	3	5	2	3	1	5	5	3	4	2	1	n/a	aghast, despondent, dispirited, incredulous
sub-pa6019	6,3,4,2,5,1	5	2	1	3	4	1	5	4	4	3	4	5	n/a	aghast, baffled, contemplative, defiant, despondent, dubious, earnest, flustered, imploring, incredulous, pensive, perplexed, stern, tentative
sub-pa6024	4,6,5,1,2,3	5	3	1	2	4	1	4	4	1	3	4	5	n/a	n/a
sub-pa6033	3,2,5,1,4,6	5	3	4	2	1	1	5	5	5	5	5	5	n/a	n/a
sub-pa6039	2,4,3,1,6,5	4	1	1	3	2	1	4	5	3	3	1	4	n/a	n/a
sub-pa6044	4,1,6,3,5,2	5	3	1	3	1	1	4	3	2	2	3	1	n/a	n/a
sub-pa6050	6,1,4,2,3,5	4	1	3	1	5	1	5	5	5	5	5	4	n/a	n/a
sub-pa6058	4,2,1,6,3,5	4	1	2	1	1	2	5	5	5	5	5	5	n/a	n/a
sub-pa6064	2,6,5,1,4,3	5	3	3	4	3	1	5	4	5	5	3	2	n/a	n/a
sub-pa6072	3,4,5,2,1,6	5	3	2	2	1	1	5	5	5	5	5	5	n/a	n/a
sub-pa6079	4,6,3,5,2,1	5	3	4	3	4	1	3	4	4	3	3	5	n/a	imploring
sub-pa6090	3,1,2,4,5,6	2	3	3	3	4	1	4	5	3	4	3	5	n/a	aghast, imploring, incredulous
sub-pa6099	1,6,2,4,3,5	5	1	2	3	1	1	5	5	2	3	2	4	n/a	n/a
sub-pa6115	3,5,4,2,6,1	2	1	2	2	3	1	1	1	1	1	1	1	R1	aghast, dubious, pensive
sub-pa6121	2,6,4,1,5,3	4	2	4	2	2	1	5	5	2	5	5	5	n/a	incredulous
sub-pa6128	3,4,2,5,6,1	4	2	1	3	3	1	5	3	2	2	5	2	n/a	despondent
sub-pa6132	1,3,5,6,2,4	4	3	1	2	2	1	5	5	4	5	4	4	n/a	n/a
sub-pa6146	1,3,4,2,6,5	5	5	5	3	5	1	5	5	5	5	5	5	n/a	baffled, bewildered, despondent, earnest
sub-pa6150	5,3,6,1,4,2	5	3	5	2	3	1	4	5	1	3	5	3	n/a	n/a
sub-pa6169	4,6,2,3,5,1	4	3	5	4	3	1	5	4	3	5	5	5	n/a	n/a
sub-pa6177	3,4,2,6,5,1	5	3	4	2	2	1	5	4	3	3	2	4	n/a	aghast, incredulous, pensive
sub-pa6186	2,3,4,1,6,5	5	3	1	2	2	1	2	4	1	5	5	5	nback, card guessing, R1, R2	aghast, despondent, earnest, flustered, stern
sub-pa6205	1,4,3,2,5,6	4	2	1	4	3	1	4	2	1	4	3	5	n/a	n/a
sub-pa6240	2,5,1,4,3,6	3	2	3	2	2	1	5	4	3	4	5	4	n/a	n/a
sub-pa6248	1,6,4,2,5,3	5	2	3	3	4	1	4	4	4	4	4	4	n/a	n/a
sub-pa6252	6,5,3,2,1,4	1	4	5	2	3	1	3	5	1	2	4	1	R1, R2	n/a
sub-pa6261	1,2,5,4,6,3	5	2	3	2	2	1	3	2	2	2	4	5	n/a	n/a
sub-pa6267	3,4,6,5,2,1	5	4	5	1	4	1	4	4	3	4	4	5	n/a	n/a
sub-pa6274	4,3,1,5,2,6	4	3	5	3	3	5	2	2	2	2	2	2	n/a	aghast, incredulous
sub-pa6289	5,3,2,4,6,1	3	2	4	1	1	1	n/an	5	5	4	n/an	5	n/a	aghast, despondent, dubious, earnest
sub-pa6302	6,3,1,5,4,2	1	2	3	3	4	1	4	4	5	5	5	5	n/a	aghast, baffled, despondent, dubious, incredulous, pensive, stern
sub-pa6310	2,3,5,4,1,6	4	3	3	2	4	1	4	5	5	5	4	4	n/a	n/a
sub-pa6316	2,6,3,4,1,5	5	1	2	1	4	1	4	1	1	1	1	2	nback	aghast, despondent, incredulous, pensive, stern
sub-pa6332	5,4,2,6,1,3	5	2	3	4	5	1	3	5	5	3	2	1	n/a	n/a
sub-pa6337	1,5,3,4,2,6	5	2	2	1	4	1	5	5	5	5	5	4	n/a	aghast, baffled, bewildered, defiant, despondent, flustered, stern, tentative
sub-pa6348	2,5,3,1,4,6	5	2	1	3	4	1	2	4	2	4	4	2	card guessing, SST, R2	accusing, affection/ate, aghast, assertive, baffled, bewildered, contented, decisive, defiant, despondent, dispirited, dubious, earnest, fantasizing, fascin/ated, flirtatious, flustered, hostile, imploring, incredulous, indecisive, indifferent, insulting, intrigued, pensive, perplexed, resentful, sarcastic, stern, tentative
sub-pa6368	5,4,2,1,3,6	3	3	2	2	2	1	5	5	5	5	5	5	n/a	despondent
sub-pa6384	3,6,1,2,4,5	4	2	1	1	1	1	2	5	2	5	5	4	n/a	n/a
sub-pa6398	3,4,1,2,5,6	4	3	1	3	2	1	5	5	3	5	5	3	n/a	n/a
sub-pa6411	6,2,5,3,4,1	5	2	5	1	4	1	5	5	5	5	5	2	n/a	n/a
sub-pa6464	2,3,4,6,1,5	4	1	1	3	3	1	3	5	1	5	3	3	R1,R2	despondent
sub-pa6472	6,1,3,5,2,4	4	4	5	2	4	1	5	5	5	5	5	5	n/a	n/a
sub-pb10024	6,5,2,4,3,1	4	2	1	1	1	1	5	5	5	3	4	5	R2	aghast
sub-pb10034	2,3,4,5,6,1	1	2	5	2	1	1	2	3	1	2	1	3	R2	aghast, incredulous
sub-pb10087	2,6,5,4,3,1	3	3	4	4	5	1	3	4	4	3	4	5	n/a	aghast, dubious, incredulous
sub-pb10096	3,2,4,6,5,1	5	4	3	3	5	3	4	5	2	5	4	2	n/a	incredulous
sub-pb10140	1,5,6,2,4,3	4	1	1	5	3	1	2	1	1	1	1	1	n/a	n/a
sub-pb10213	2,1,6,3,4,5	4	2	3	1	3	1	5	5	4	3	5	3	n/a	n/a
sub-pb10238	3,2,6,1,5,4	5	4	3	4	2	1	4	5	4	3	3	3	n/a	n/a
sub-pb10277	6,1,5,4,2,3	1	5	5	1	5	1	1	1	1	1	1	5	SST, movies	affection/ate, aghast, anticipating, apologetic, arrogant, assertive, baffled, bewildered, contemplative, contented, deciding, decisive, defiant, desire, despondent, dispirited, distrustful, domin/ant, doubtful, dubious, fascin/ated, flirtatious, flustered, imploring, incredulous, indecisive, insisting, intrigued, panicked,pensive, perplexed, preoccupied, reassuring, regretful, resentful, sarcastic, satisfied, skeptical, suspicious, tentative
sub-pb10286	1,5,6,3,4,2	5	2	2	2	4	1	5	5	4	3	5	4	R1, R2	aghast, bewildered, despondent, imploring, incredulous
sub-pb10322	4,1,5,3,2,6	4	2	5	2	5	1	2	5	4	5	2	5	n/a	n/a
sub-pb10359	3,5,2,4,1,6	5	2	1	1	1	1	5	1	1	1	1	1	n/a	aghast, defiant, despondent, dispirted, domin/ant, dubious, imploring, incredulous, indecisive, intrigued, pensive, perplexed, stern, tentative
sub-pb10398	4,6,1,5,3,2	4	3	1	4	3	1	5	5	2	5	3	2	n/a	aghast, despondent, incredulous, pensive
sub-pb10449	4,2,5,3,1,6	4	2	2	3	4	1	5	5	5	5	5	5	NBack, R2	aghast, incredulous, imploring, dubious
sub-pb10500	2,5,1,3,6,4	3	1	5	5	4	1	3	4	3	2	4	5	n/a	incredulous
sub-pb10542	1,2,4,5,6,3	3	1	1	1	3	1	1	5	4	5	5	4	R1	n/a
sub-pb3869	3,4,1,2,6,5	5	3	4	2	2	1	5	5	5	5	5	5	n/a	bewildered, dispirited
sub-pb4486	2,1,4,3,5,6	4	3	5	4	3	1	3	3	1	4	4	3	Nback, SST, R2	n/a
sub-pb4590	1,2,6,5,3,4	5	2	2	3	4	1	3	3	3	3	3	3	n/a	n/a
sub-pb4634	5,6,3,1,2,4	3	2	5	2	3	1	3	5	2	4	5	4	R1	n/a
sub-pb4719	4,5,2,1,3,7,6	5	2	3	2	3	1	5	5	3	3	4	4	n/a	n/a
sub-pb6890	6,4,5,1,7,2,3	4	3	5	2	3	1	5	5	5	5	5	5	R2	dubious
sub-pb7044	4,1,5,6,3,2	5	1	4	4	3	1	5	5	5	5	5	4	n/a	n/a
sub-pb7458	1,6,3,5,4,2	5	3	2	4	3	1	2	2	1	2	5	5	R1	n/a
sub-pb7643	4,3,5,2,1,6	5	4	2	5	3	1	5	2	1	5	5	4	SST, R1, R2	incredulous
sub-pb7728	5,6,2,3,4,1	4	1	3	2	3	1	3	5	2	4	2	5	R1, R2	n/a
sub-pb7853	2,4,5,3,6,1	4	1	1	1	2	1	4	5	5	5	5	5	n/a	aghast,dubious,incredulous
sub-pb7895	2 6 4 5 1 3	5	3	5	2	2	1	5	3	5	4	5	1	Nback, gradCPT, R1	aghast,dubious,incredulous
sub-pb7929	7,2,6,1,4,5,3	2	3	4	5	3	1	3	5	1	3	4	3	n/a	n/a
sub-pb8006	1,2,3,5,6,4	4	2	3	1	5	1	4	5	2	5	2	5	n/a	accusing,aghast,despondent
sub-pb8051	3,6,5,2,1,4	4	2	1	2	2	1	3	3	1	2	3	4	n/a	despondent
sub-pb8172	3,1,5,2,4,6	3	2	2	4	2	1	5	5	2	4	4	4	n/a	despondent, incredulous
sub-pb8179	7,1,2,6,3,5,4	2	2	4	5	3	1	2	2	2	2	5	5	Nback, card guessing	dispirited, incredulous, pensive
sub-pb8204	6,7,2,4,3,5,1	5	2	1	5	5	1	5	5	5	5	5	1	R2	dispirited
sub-pb8214	1,3,2,4,5,6	5	2	1	3	3	1	2	5	2	5	5	3	n/a	n/a
sub-pb8347	1,2,5,6,4,3	5	2	2	3	4	1	5	5	4	5	5	4	n/a	n/a
sub-pb8448	5,3,4 (exclude),6,2,1	5	2	2	3	3	n/an	4	4	3	3	5	n/an	n/a	n/a
sub-pb8487	4,3,1,6,5,2	4	2	2	4	3	1	4	4	3	5	4	5	n/a	n/a
sub-pb8614	2,3,5,1,6,4,2	5	1	3	1	2	1	3	5	3	5	5	5	R2	aghast, bewildered, despondent, flustered
sub-pb8708	6,5,3,1,4,2	5	3	5	3	2	1	3	5	2	4	5	4	n/a	n/a
sub-pb8759	5,1,4,3,6,2	4	1	3	5	5	1	2	5	5	5	5	5	n/a	n/a
sub-pb8807	6,2,5,1,3,4	2	2	2	2	3	1	4	4	4	4	4	4	R1	n/a
sub-pb9093	3,1,6,2,4,5	n/an	n/an	n/an	n/an	n/an	n/an	n/an	n/an	n/an	n/an	n/an	n/an	n/an	n/a
sub-pb9266	4,2,5,1,6,3	5	3	2	2	5	1	4	5	2	5	3	2	eyes	n/a
sub-pb9526	2,4,5,6,1,3	5	1	5	5	3	1	4	4	4	2	3	5	Nback, SST, card guessing, gradCPT, eyes, movies, R1, R2	aghast, despondent, dispirited, incredulous
sub-pb9702	4,3,1,6,2,5	4	1	3	1	5	1	2	1	1	3	5	5	Nback, SST, card guessing, R2	n/a
sub-pb9744	5,3,1,6,2,4	4	3	2	2	2	1	4	4	5	5	5	5	n/a	aghast, despondent, pensive
sub-pb9831	1,6,5,3,4,2	3	1	3	4	4	1	2	4	3	5	3	3	n/a	aghast, assertive, bewildered, contemplative, contented, despondent, dispirited, dubious, flustered, imploring, incredulous, indecisive, pensive, perplexed, stern, tentative
sub-pb9916	5,1,3,6,4,2	3	1	3	1	1	1	5	3	3	5	5	4	R2	aghast
sub-pb9953	4,3,2,1,5,6	5	1	3	1	5	1	1	3	4	4	2	5	Nback, R2	aghast, assertive, contemplative,contented,defin/at, dubious, fascin/ated,imploring,intrigued,pensive,resentful,stern
sub-pb9976	5,1,2,4,3,6	4	1	3	3	5	2	3	5	5	4	4	3	R1	aghast, baffled, bewildered, contemplstive, contented, despondent, dispirited, fantasizing, flustered, hostile, imploring, pensive, perplexed, relfective, stern
sub-pc0077	1,2,4,6,3,5	5	1	1	1	3	1	1	5	5	4	3	5	n/a	aghast, despondent, dubious, earnest, incredulous
sub-pc0218	4,1,2,3,5,6	2	1	2	2	1	1	5	5	4	5	5	4	n/a	n/a
sub-vd0034	1,5,4,6,2,3	4	3	4	3	5	1	4	3	3	4	5	1	n/a	aghast,assertive,baffled,bewildered,contemplative,contented,decisive,defiant,dubious,imploring,incredulous,indecisive,indifferent,perplexed,stern,tentative
sub-vd0084	1,4,2,6,3,5	4	5	3	3	3	1	5	4	3	5	5	3	n/a	despondent
sub-vd0115	4,3,2,6,1,5	5	2	2	2	3	1	4	4	4	4	4	4	n/a	contemplative, decisive, defiant, despondent, imploring, incredulous, pensive, tentative
sub-vd0116	1,3,2,5,4,6	4	3	2	4	5	1	4	5	4	4	5	3	n/a	n/a
